id,description_feature_1,description_feature_2,description_feature_3
837511009187775832,Central location, Quiet area, Modern apartment
837528581799043801,Central location, Modern apartment, Remote work setup  
837540596274145757,Central location, Modern apartment, Remote work setup  
837569004711909914,Quiet area, Cozy atmosphere, Central location  
837671836038158464,Quiet area, Cozy atmosphere, Central location  
837716474621937309,Cozy atmosphere, Quiet area, Historic neighborhood  
837737853372754601,Cozy atmosphere, Historic neighborhood, Unique architectural design  
837747852098379733,Cozy atmosphere, Historic neighborhood, Unique architectural design  
838158842182956886,Fully equipped kitchen, Laundry facilities included, Spacious living areas  
838200572927745116,Fully equipped kitchen, Laundry facilities included, Spacious living areas  
838265313758992064,Fully equipped kitchen, Laundry facilities included, Spacious living areas
838271634327599468,Fully equipped kitchen, Laundry facilities included, Accessible for reduced mobility  
838278704515263664,Fully equipped kitchen, Laundry facilities included, Accessible for reduced mobility  
838296659238986973,Fully equipped kitchen, Laundry facilities included, Accessible for reduced mobility  
838301697472407749,Family-friendly, Fully equipped kitchen, Spacious living areas  
838421588664345004,Central location, Stylish and modern decor, Luxury apartment  
838954131142915114,Central location, Family-friendly, Spacious living areas  
839013576086386854,Central location, Panoramic city views, Historic neighborhood  
839153851208317009,Central location, Close to local markets, With private parking  
839260125215161782,Panoramic city views, Near public transportation, Spacious living areas  
839795193324202730,Central location, Family-friendly, High ceilings
839908031170861506,Central location, Family-friendly, Near public transportation  
839972130776023517,Central location, Family-friendly, Near public transportation  
840396018674357884,Near public transportation, Family-friendly, Near cultural attractions  
840408120186210061,Quiet area, Modern apartment, With private parking  
840419017431207678,Quiet area, Modern apartment, With private parking  
840497781217004138,Modern apartment, Stylish and modern decor, Business traveler-friendly  
840529078023227891,,,
840630665540608081,Central location, Cozy atmosphere, Near shopping areas  
840998779658221582,Central location, Close to restaurants and cafes, Stylish and modern decor  
841058466839443173,,,
841238448907860706,Central location, Near public transportation, Good natural lighting  
841369042959695012,Central location, Close to public transportation, Cozy atmosphere
841736109889182556,Event hosting space, Good natural lighting, Stylish and modern decor
841901523537334362,Central location, Near restaurants and cafes, Historic neighborhood
841931258443384759,Family-friendly, Quiet area, Spacious living areas
841984500527519941,Central location, Quiet area, Stylish and modern decor
842019298404161290,Near major landmarks, Historic neighborhood, Charming old-town vibe
842019557402279622,Near major landmarks, Historic neighborhood, Charming old-town vibe
842024415480152587,Near major landmarks, Historic neighborhood, Charming old-town vibe
842046121270992383,Fully equipped kitchen, Close to restaurants and cafes, Includes high-speed WiFi
842054476986383845,Central location, Near public transportation, Close to restaurants and cafes
842453824759581444,Ideal for couples, Fully equipped kitchen, Close to local markets
842613514820598802,Central location, Close to restaurants and cafes, Near cultural attractions  
842636497970361778,Central location, Historic neighborhood, Unique architectural design  
842638067868425713,,,
842638905308838359,Central location, Historic neighborhood, Unique architectural design  
842641007482737132,Central location, Historic neighborhood, Unique architectural design  
842643025957081733,Central location, Historic neighborhood, Unique architectural design  
842661736958572427,Quiet area, Modern apartment, Near public transportation  
842738959384705541,Central location, Near public transportation, Close to major landmarks  
842831646596056791,Near public transportation, Budget-friendly, Cozy atmosphere  
842919064453019612,Quiet area, Private entrance, Fully equipped kitchen  
843130359461000287,Ideal for couples, Close to restaurants and cafes, Fully equipped kitchen
843164169131265594,Central location, Near major landmarks, Family-friendly  
843190204113582074,Ideal for couples, Compact and efficient studio, Fully equipped kitchen  
843229073356486240,Ideal for couples, Compact and efficient studio, Fully equipped kitchen  
843246512272946914,Ideal for couples, Compact and efficient studio, Fully equipped kitchen  
843257534040143451,Family-friendly, Historic neighborhood, Close to major landmarks  
843292965966189156,Cozy atmosphere, Good natural lighting, Central location  
843399189328440661,Near public transportation, Central location, Suitable for solo travelers  
843440019085583978,Central location, Near cultural attractions, Charming old-town vibe  
843472927018025548,Spacious living areas, With private parking, Panoramic city views  
843580668136366957,Family-friendly, Pet-friendly, Close to public transportation
843792003854059856,Historic neighborhood, Near major landmarks, Near public transportation  
843875188108858473,Modern apartment, Central location, Includes high-speed WiFi  
843876674577790220,,,
843927488639432324,Quiet area, Central location, Close to restaurants and cafes  
844016627796655589,Quiet area, Central location, Close to restaurants and cafes  
844102966783720636,Family-friendly, Modern apartment, Spacious living areas  
844304793515910789,Quiet area, Central location, Fully equipped kitchen  
844799352437919324,Quiet area, Central location, Close to restaurants and cafes  
844896802701457223,Modern apartment, Central location, Quiet area  
845469571682077303,Quiet area, Central location, Close to restaurants and cafes  
845477199264689398,Modern apartment, Spacious living areas, Good natural lighting
846077333319141517,Historic neighborhood, Central location, Near public transportation  
846177001278448693,Panoramic city views, Historic neighborhood, Close to restaurants and cafes  
846343602155218106,Central location, Near public transportation, Close to cultural attractions  
846762817375536765,Budget-friendly, Fully equipped kitchen, Ideal for couples  
846919950663214135,Modern apartment, Family-friendly, Fully equipped kitchen  
846971383205086429,Stylish and modern decor, Ideal for couples, Close to restaurants and cafes  
846971548627608878,Central location, Near public transportation, Close to restaurants and cafes  
847012377759403850,Central location, Near public transportation, Family-friendly  
847048803818025481,Central location, Quiet area, Good natural lighting  
847658835142825753,Historic neighborhood, Central location, Family-friendly
847676807060136625,Modern apartment, Fully equipped kitchen, Safe neighborhood  
847777326907110447,Event hosting space, Central location, Family-friendly  
847796266559141706,Modern apartment, Fully equipped kitchen, Safe neighborhood  
847800144664795121,,,
847811745587154957,Modern apartment, Fully equipped kitchen, Safe neighborhood  
847828010451031426,Event hosting space, Central location, Family-friendly  
847873913196387643,Event hosting space, Central location, Family-friendly  
847883280580824474,Charming old-town vibe, Ideal for couples, Cozy atmosphere  
847889113763746337,Charming old-town vibe, Ideal for couples, Cozy atmosphere  
847910272973788603,Central location, Near public transportation, Historic neighborhood  
848230417197689422,Modern apartment, Spacious living areas, Close to major landmarks
848312682663464150,Central location, Historic neighborhood, Family-friendly  
848341821024103013,Central location, Historic neighborhood, Family-friendly  
848341923059844969,Central location, Historic neighborhood, Family-friendly  
848412374459559424,Central location, Historic neighborhood, Family-friendly  
848416883384465323,,,
848421733192532079,Central location, Historic neighborhood, Family-friendly  
848427132460044173,Central location, Historic neighborhood, Family-friendly  
848465087208537112,Central location, Ideal for couples, Luxury apartment  
848566569038240623,Central location, Pet-friendly, Unique architectural design  
848594055576289351,Central location, Family-friendly, Modern apartment  
848618699549785310,Central location, Luxury apartment, Business traveler-friendly
849001750322829090,Central location, Near public transportation, Family-friendly
849007218537788249,Family-friendly, Modern apartment, Quiet area
849008684353029489,Central location, Modern apartment, Cozy atmosphere
849018392612172215,Central location, Panoramic city views, Stylish and modern decor
849030731732982942,Central location, Family-friendly, Spacious living areas
849316745723340224,Central location, Near public transportation, Safe neighborhood
849825188028481228,Modern apartment, Fully equipped kitchen, Cozy atmosphere
849971765428988222,Central location, Near public transportation, Safe neighborhood
850093278299006080,Quiet area, Cozy atmosphere, Near major landmarks
850451839261685201,Family-friendly, Includes high-speed WiFi, Kid-friendly amenities
850782430980589900,Central location, Modern apartment, Near major landmarks  
851150270135557905,Historic neighborhood, Good natural lighting, Scenic walking routes nearby  
851162513599744391,Central location, Luxury apartment, Family-friendly  
851228418837598222,Central location, Family-friendly, Near public transportation  
851236132230633390,Ideal for couples, Fully equipped kitchen, Compact and efficient studio  
851248940913770419,Historic neighborhood, Central location, Charming old-town vibe  
851250085220499977,Central location, Family-friendly, Near public transportation  
851474384692814442,Quiet area, Cozy atmosphere, Good natural lighting  
851490137528227860,Quiet area, Ideal for couples, Good natural lighting  
851596172014112856,Central location, Business traveler-friendly, Fully equipped kitchen
851610674434848085,Central location, Family-friendly, Luxury apartment  
851785828579657869,Accessible for reduced mobility, Family-friendly, Quiet area  
851941513141443371,Central location, Fully equipped kitchen, Near major landmarks  
851959349512604959,Central location, Family-friendly, Near public transportation  
851990421821927498,Central location, Family-friendly, Near public transportation  
852018949021964527,Central location, Near public transportation, Family-friendly  
852065580673304252,Central location, Near public transportation, Family-friendly  
852135160101620541,Modern apartment, Central location, Family-friendly  
852147942296514029,Modern apartment, Central location, Family-friendly  
852587898796284877,Near major landmarks, Central location, Near cultural attractions
852651659128441524,Unique architectural design, Close to restaurants and cafes, Near public transportation
852697055328623561,Central location, Historic neighborhood, Family-friendly
852781782124729920,Stylish and modern decor, Fully equipped kitchen, Cozy atmosphere
853426473696659267,Central location, Close to restaurants and cafes, Luxury apartment
853473457589528482,Kid-friendly amenities, Spacious living areas, Budget-friendly
853480961339758220,Kid-friendly amenities, Spacious living areas, Budget-friendly
853487655983479650,Fully equipped kitchen, Cozy atmosphere, Ideal for couples
853493369733698166,Fully equipped kitchen, Cozy atmosphere, Ideal for couples
853509101086678893,Family-friendly, Near public transportation, Nearby parks or green spaces
854000112850825423,Cozy atmosphere, Good natural lighting, Ideal for couples
854004827556285454,Cozy atmosphere, Suitable for solo travelers, Near educational institutions  
854007437686258657,Cozy atmosphere, Suitable for solo travelers, Near educational institutions  
854010708824670123,Unique architectural design, Charming old-town vibe, Spacious living areas  
854019764791537070,Unique architectural design, Charming old-town vibe, Spacious living areas  
854022351883487688,Central location, Close to restaurants and cafes, Near cultural attractions  
854029061104508284,Quiet area, Fully equipped kitchen, Near public transportation  
854039557057801648,Unique architectural design, Charming old-town vibe, Spacious living areas  
854133245037777969,Budget-friendly, Near public transportation, Close to restaurants and cafes  
854258679594314971,Modern apartment, Quiet area, Flexible check-in  
854326245892594189,Quiet area, Family-friendly, With private parking
854478986915095489,Central location, Near public transportation, Close to restaurants and cafes  
854747841047451579,Budget-friendly, Cozy atmosphere, Suitable for solo travelers  
854750085097889255,Budget-friendly, Cozy atmosphere, Suitable for solo travelers  
854754234884736722,Spacious living areas, Near major landmarks, Good natural lighting  
854759562258245001,Spacious living areas, Near major landmarks, Good natural lighting  
854765333611989650,Spacious living areas, Near major landmarks, Good natural lighting  
854767721504763794,Spacious living areas, Near major landmarks, Good natural lighting  
854770985018460673,Spacious living areas, Near major landmarks, Good natural lighting  
854782441938974838,Spacious living areas, Near major landmarks, Good natural lighting  
854788832023712248,Spacious living areas, Near major landmarks, Good natural lighting
854791956371483100,Spacious living areas, Good natural lighting, Fully equipped kitchen  
854793881227284889,Spacious living areas, Good natural lighting, Fully equipped kitchen  
854799883980680488,Spacious living areas, Good natural lighting, Fully equipped kitchen  
854801531153754448,Spacious living areas, Good natural lighting, Fully equipped kitchen  
854812436333946263,Spacious living areas, Good natural lighting, Fully equipped kitchen  
854817102174484988,Spacious living areas, Good natural lighting, Fully equipped kitchen  
854928738531628650,Unique architectural design, Historic neighborhood, Good natural lighting  
855020517616949967,Unique architectural design, Historic neighborhood, Good natural lighting  
855023060420901127,Unique architectural design, Historic neighborhood, Good natural lighting  
855024882080419411,Unique architectural design, Historic neighborhood, Good natural lighting
855028734544504274,Budget-friendly, Shared bathroom, Cozy atmosphere  
855142061938147598,Family-friendly, Close to public transportation, Quiet area  
855169228352435705,Central location, Near public transportation, Close to restaurants and cafes  
855172216955686559,Central location, Near major landmarks, Close to restaurants and cafes  
855693978595336616,Modern apartment, Central location, Laundry facilities included  
856244427479122905,Unique architectural design, Cozy atmosphere, Shared bathroom  
856377604367136214,Central location, Flexible check-in, Includes cleaning service  
856391754263474589,Central location, Ideal for couples, Close to public transportation  
856450019427621634,Unique architectural design, Cozy atmosphere, Shared bathroom  
856455540648378060,Budget-friendly, Cozy atmosphere, Shared bathroom
856459745030591400,Budget-friendly, Shared accommodations, Quiet area  
856478772446500424,Central location, Near public transportation, Fully equipped kitchen  
856483732124495247,Cozy atmosphere, Safe neighborhood, Ideal for couples  
856494807977624029,Quiet area, Central location, Fully equipped kitchen  
856498683347137870,Quiet area, Central location, Spacious living areas  
856544106429006727,Cozy atmosphere, Quiet area, Peaceful courtyard access  
856840999122953444,Fully equipped kitchen, Spacious living areas, Cozy atmosphere  
856875357399180340,Compact and efficient studio, Near public transportation, Close to parks and green spaces  
856959547477065473,Central location, Ideal for couples, Suitable for solo travelers  
856975142283412284,Central location, Ideal for couples, Spacious living areas
857056940133095345,Central location, Ideal for couples, Near public transportation  
857072961316624929,Central location, Ideal for couples, Family-friendly  
857166886101318975,Spacious living areas, Good natural lighting, Near major landmarks  
857189271362218905,Spacious living areas, Good natural lighting, Near major landmarks  
857198115775836031,Spacious living areas, Good natural lighting, Near major landmarks  
857277504905805315,Central location, Close to restaurants and cafes, Unique architectural design  
857305703674256048,Central location, Near public transportation, With private parking  
857350484587687652,Central location, Close to restaurants and cafes, Unique architectural design  
857614870369570006,Spacious living areas, Good natural lighting, Near major landmarks  
857620188764248310,Spacious living areas, Good natural lighting, Near major landmarks
857622054776294129,Spacious living areas, Good natural lighting, Close to major landmarks  
857653032975888086,Spacious living areas, Good natural lighting, Close to major landmarks  
857653700632057605,Romantic atmosphere, Quiet street, Charming old-town vibe  
857654585017747446,Spacious living areas, Good natural lighting, Close to major landmarks  
857666516176193100,Spacious living areas, Good natural lighting, Close to major landmarks  
857672786424226688,Central location, Fully equipped kitchen, Ideal for couples  
857678786388748686,Spacious living areas, Good natural lighting, Close to major landmarks  
857687456049158008,Family-friendly, High ceilings, Charming old-town vibe  
857791350445071893,Central location, Ideal for couples, Near public transportation  
857805910738391038,Central location, Ideal for couples, Near public transportation
857829948930677773,Central location, Family-friendly, Fully equipped kitchen  
857838110029105334,Central location, Close to restaurants and cafes, Historic neighborhood  
857839079858960282,Family-friendly, Quiet area, Cozy atmosphere  
857844779336877669,Central location, Includes cleaning service, Near public transportation  
857851618215089237,Central location, Close to restaurants and cafes, Historic neighborhood  
857859034679249959,Central location, Close to restaurants and cafes, Quiet area  
857865624656380346,Central location, Close to restaurants and cafes, Historic neighborhood  
858007719090747395,Central location, Historic neighborhood, Unique architectural design  
858033608926511968,Central location, Historic neighborhood, Unique architectural design  
858354422589589172,Central location, Historic neighborhood, Unique architectural design
858377560011455259,Central location, Historic neighborhood, Near cultural attractions  
858395618322932581,Modern apartment, Quiet area, Family-friendly  
858413484558195033,Modern apartment, Quiet area, Family-friendly  
858553999424763887,Central location, Historic neighborhood, Near cultural attractions  
858556272238871812,Central location, Near public transportation, Quiet area  
858567030955837795,Central location, Near public transportation, Quiet area  
858598972000336984,Central location, Near public transportation, Quiet area  
858692132965172316,Family-friendly, Fully equipped kitchen, Quiet area  
858729215311765504,Central location, Historic neighborhood, Family-friendly  
858755487665709966,Central location, Historic neighborhood, Family-friendly
859069729375224992,Central location, Near public transportation, Near cultural attractions  
859069951559503059,Central location, Near public transportation, Near cultural attractions  
859126484073002331,Central location, Ideal for couples, Cozy atmosphere  
859227612335202358,Near public transportation, Family-friendly, Spacious living areas  
859236026655746137,Quiet area, Family-friendly, Flexible check-in  
859300316799050383,Central location, Near public transportation, Near cultural attractions  
859312099619610197,Central location, Near public transportation, Near cultural attractions  
859342203983492016,Near a river or waterfront, Spacious living areas, Unique architectural design  
859494314442414044,Modern apartment, Flexible check-in, Stylish and modern decor  
859499378093162744,Safe neighborhood, With private parking, Near public transportation
859500001701730032,Modern apartment, Ideal for couples, Close to local markets
859536991161884036,Event hosting space, Central location, Close to nightlife
859544311735037738,Event hosting space, Central location, Close to nightlife
859972476326318148,Family-friendly, With private parking, Near cultural attractions
860020206721739943,Budget-friendly, Suitable for solo travelers, Shared accommodations
860025204634929749,Budget-friendly, Suitable for solo travelers, Shared accommodations
860251723498582387,Family-friendly, Close to restaurants and cafes, Near public transportation
860557358037031685,Central location, Near public transportation, Spacious living areas
860664747125368315,Near public transportation, Suitable for couples, Quiet area
861301648924678954,Quiet area, Close to restaurants and cafes, Safe neighborhood
861408943470933866,Central location, Near public transportation, Close to restaurants and cafes  
861410535766528032,Central location, Ideal for couples, Near public transportation  
861431706293192276,Quiet area, Near cultural attractions, Central location  
861583393552613423,Historic neighborhood, Close to restaurants and cafes, Central location  
861623938268466322,Central location, Walkable neighborhood, Near major landmarks  
861632597828573940,Central location, Historical neighborhood, Family-friendly  
861641652058565583,Central location, Unique architectural design, Quiet area  
861645428910955554,Central location, Historical neighborhood, Family-friendly  
862094795608316860,Central location, Near public transportation, Fully equipped kitchen  
862330604840722358,Central location, Cozy atmosphere, Quiet area
862359108835059018,Central location, Ideal for couples, Quiet area  
862425186347246361,Central location, Quiet area, Near cultural attractions  
862468153458068562,Central location, Suitable for solo travelers, Walkable neighborhood  
862474428349670587,Event hosting space, Central location, Close to nightlife  
862699702229760126,Central location, Quiet area, Unique architectural design  
862715597447340922,Central location, Historic neighborhood, Unique architectural design  
862721614533650188,Quiet area, Suitable for solo travelers, Business traveler-friendly  
862761180722469702,Central location, Historic neighborhood, Close to shopping areas  
862766674702948446,Near public transportation, Family-friendly, With private parking  
862851240780134385,Central location, Fully equipped kitchen, Suitable for families
862863281295857522,Unique architectural design, Boutique apartment, Flexible check-in  
862928347709355323,Business traveler-friendly, Close to shopping areas, Fully equipped kitchen  
862972308281164304,Charming old-town vibe, Unique architectural design, Near cultural attractions  
863074404890760202,Historic neighborhood, Near major landmarks, Cozy atmosphere  
863082958849981293,Historic neighborhood, Near major landmarks, Cozy atmosphere  
863086089561733073,Historic neighborhood, Near major landmarks, Cozy atmosphere  
863232107579000529,Central location, Fully equipped kitchen, Includes high-speed WiFi  
863329362663035883,Central location, Near public transportation, Family-friendly  
863413929864161938,Near parks or green spaces, Quiet area, Family-friendly  
863487954678296118,Central location, Close to nightlife, Fully equipped kitchen
863523571486676302,Quiet area, Family-friendly, Near parks or green spaces  
863550381475857979,Central location, Near public transportation, Close to restaurants and cafes  
863706488021041278,Central location, Quiet area, Ideal for couples  
863739765485398783,Central location, Near cultural attractions, Modern apartment  
863768884436913996,Perfect for couples, Close to restaurants and cafes, Walkable neighborhood  
863818098551938176,Central location, Close to nightlife, Fully equipped kitchen  
863836525327203493,Central location, Family-friendly, Fully equipped kitchen  
864320849575832165,Central location, Ideal for couples, Good natural lighting  
864561899603312906,Central location, Historic neighborhood, Unique architectural design  
864572435650136678,Central location, Historic neighborhood, Unique architectural design
864594043692857981,Central location, Family-friendly, Near public transportation  
864606153000715795,Modern apartment, Central location, Suitable for solo travelers  
864921616529714751,Central location, Near cultural attractions, Family-friendly  
865131265137380507,,,
865653247809779820,Historic neighborhood, Near major landmarks, Unique architectural design  
865655999432587374,Budget-friendly, Near public transportation, Cozy atmosphere  
865668577989183366,Near public transportation, Family-friendly, Good natural lighting  
865729579773356277,Historic neighborhood, Luxury apartment, Family-friendly  
865731473101923071,Budget-friendly, Near public transportation, Suitable for solo travelers  
865859638684237641,Budget-friendly, Near public transportation, Suitable for solo travelers  
865876361433261529,,,
866084871652514816,Close to restaurants and cafes, Good natural lighting, Cozy atmosphere
866399349383229242,Central location, Close to restaurants and cafes, Near major landmarks  
866437683387403705,Spacious living areas, Near public transportation, Ideal for couples  
866713870815123121,Historic neighborhood, Unique architectural design, Near cultural attractions  
867041965112534616,Central location, Ideal for couples, Close to public transportation  
867214568529904071,Quiet area, Cozy atmosphere, Central location  
867409012817414034,,,
867473867131686554,,,
867788377571861539,Central location, Near public transportation, Quiet street  
867805474258793290,Near a river or waterfront, Cozy atmosphere, Ideal for couples  
867814930908807414,Central location, Close to restaurants and cafes, Near major landmarks  
867929046579769929,Budget-friendly, Near public transportation, Family-friendly  
867951606264468259,Central location, Spacious living areas, Cozy atmosphere
868070153195196180,Luxury apartment, Central location, Fully equipped kitchen  
868478024413047790,Historic neighborhood, Near cultural attractions, Artistic atmosphere  
868589020431310383,Central location, Quiet area, Close to restaurants and cafes  
868868798215485378,Cozy atmosphere, Quiet street, Unique architectural design  
869222748235228755,Central location, Family-friendly, Close to local markets  
869609315992001465,Event hosting space, Close to nightlife, Ideal for couples  
870230048946392581,Near public transportation, Family-friendly, Quiet area  
871015995599686076,Pet-friendly, Quiet area, Suitable for solo travelers  
871042589331587011,Central location, Close to restaurants and cafes, Cozy atmosphere  
871397379374541119,Central location, Near public transportation, Family-friendly
871607001034758476,Central location, Near public transportation, Fully equipped kitchen  
871729525623593734,Central location, Close to restaurants and cafes, Family-friendly  
872177714278758849,Central location, Close to restaurants and cafes, Near cultural attractions  
872177727737915589,Central location, Close to restaurants and cafes, Near cultural attractions  
872248675162150038,Central location, Family-friendly, Fully equipped kitchen  
872254945035230401,Central location, Family-friendly, Ideal for couples  
872268358894441506,Central location, Ideal for couples, Fully equipped kitchen  
872336672015307989,Central location, Fully equipped kitchen, Cozy atmosphere  
872356020527263284,Central location, Cozy atmosphere, Suitable for solo travelers  
872419475629065943,Central location, Family-friendly, Fully equipped kitchen
872422942466825013,Family-friendly, Historic neighborhood, Close to local markets  
872448917064292495,Central location, Near public transportation, Suitable for solo travelers  
872520937907509766,Ideal for couples, Good natural lighting, Remote work setup  
873011221427855295,Quiet area, Close to restaurants and cafes, Spacious living areas  
873072801655402850,Stylish and modern decor, Perfect for extended stays, Good natural lighting  
873646295815985322,Central location, Near public transportation, Quiet area  
873682985016448494,Central location, Panoramic city views, Cozy atmosphere  
873724369509399703,Unique architectural design, Artistic atmosphere, Stylish and modern decor  
873728990351361645,Unique architectural design, Artistic atmosphere, Stylish and modern decor  
873747219853040110,Central location, Close to cultural attractions, Urban retreat
873757473218242057,Central location, Near public transportation, Close to restaurants and cafes  
873842100913094508,Central location, Near public transportation, Close to major landmarks  
873842115105249207,Central location, Near public transportation, Close to restaurants and cafes  
873881488496520964,Central location, Near public transportation, Close to restaurants and cafes  
873897270809648797,Central location, Near public transportation, Family-friendly  
874033822399600309,Luxury apartment, Ideal for couples, Family-friendly  
874317906674963478,Unique architectural design, Artistic atmosphere, Cozy atmosphere  
874377281426710417,Unique architectural design, Stylish and modern decor, Cozy atmosphere  
874396576676627033,Unique architectural design, Compact and efficient studio, Cozy atmosphere  
874480326578569154,Suitable for solo travelers, Remote work setup, Business traveler-friendly
874738729488040600,Central location, Close to restaurants and cafes, Fully equipped kitchen  
875078812861968201,Central location, Ideal for couples, Near cultural attractions  
875381483201694430,Central location, Flexible check-in, Includes high-speed WiFi  
875805712577942177,Central location, Near cultural attractions, Fully equipped kitchen  
876251285810915071,Panoramic city views, Near cultural attractions, Spacious living areas  
876469279344205228,Central location, Close to restaurants and cafes, Family-friendly  
876557220770919497,Luxury apartment, Stylish and modern decor, Central location  
876562397414252988,Quiet area, Near public transportation, With gym facilities  
876618565023942930,Central location, Family-friendly, Near cultural attractions  
876726737010613255,Central location, Close to shopping areas, Family-friendly
876832236492910832,Central location, Near public transportation, Close to restaurants and cafes  
876850103037910985,Close to parks and green spaces, Family-friendly, Scenic walking routes nearby  
876924552477664650,Central location, Modern apartment, Near public transportation  
877124632734693299,Eco-friendly features, Unique architectural design, Stylish and modern decor  
877273805230971754,Central location, Budget-friendly, Family-friendly  
877281357020082633,Central location, Family-friendly, Spacious living areas  
877317763269072565,Quiet area, Family-friendly, Nearby parks or green spaces  
877357325487577098,Fully equipped kitchen, Good natural lighting, Cozy atmosphere  
877433953961642110,Central location, Unique architectural design, Quiet area  
877930034219368920,Central location, Near public transportation, Close to restaurants and cafes
877955512312857692,Central location, Near major landmarks, Close to restaurants and cafes  
878080321028388166,Central location, Cozy atmosphere, Eco-friendly features  
878108998743714453,Central location, Cozy atmosphere, Eco-friendly features  
878120555786898253,Modern apartment, Business traveler-friendly, Includes high-speed WiFi  
878324279189879170,Central location, Cozy atmosphere, Eco-friendly features  
878330567307230648,Central location, Cozy atmosphere, Eco-friendly features  
878334904450142924,Central location, Cozy atmosphere, Eco-friendly features  
878340159004198286,Central location, Cozy atmosphere, Eco-friendly features  
878759831860883513,Central location, Unique architectural design, Spacious living areas  
878941896371122161,Central location, Near public transportation, Rooftop terrace or balcony
878972820229718426,Central location, Close to restaurants and cafes, Perfect for extended stays  
878975019005858343,Central location, Close to restaurants and cafes, Perfect for extended stays  
878983135646060276,Central location, Close to restaurants and cafes, Perfect for extended stays  
879078868362085266,Historic neighborhood, Near major landmarks, Unique architectural design  
879373009755612528,Quiet area, Close to parks and green spaces, Spacious living areas  
879410094451927120,Quiet area, Central location, Peaceful courtyard access  
879438895007503442,Central location, Near public transportation, Close to restaurants and cafes  
879450089356063408,Central location, Near public transportation, Close to shopping areas  
879516226782251191,Central location, Near cultural attractions, Nearby parks or green spaces  
880229866527746630,Panoramic city views, Historic neighborhood, Close to major landmarks
880246949331259627,Central location, Near cultural attractions, Quiet area  
880248520212513710,Central location, Good natural lighting, Fully equipped kitchen  
880827347410758473,Central location, Family-friendly, Spacious living areas  
880846906695069942,Central location, Quiet street, Near major landmarks  
880963478925542030,Budget-friendly, Near public transportation, Compact and efficient studio  
881004821465786777,Budget-friendly, Near public transportation, Compact and efficient studio  
881571447122711953,Budget-friendly, Suitable for solo travelers, Close to public transportation  
881580170044004456,Stylish and modern decor, Central location, Cozy atmosphere  
882274382189897063,Unique architectural design, Central location, Good natural lighting  
882339807282847551,Family-friendly, Stylish and modern decor, Close to local markets
882346290233641533,Luxury apartment, Central location, Ideal for couples  
882358227104928798,Luxury apartment, Central location, Ideal for couples  
882361309043798742,Luxury apartment, Central location, Ideal for couples  
882412248148842241,Family-friendly, Business traveler-friendly, Includes high-speed WiFi  
882422059661737550,Family-friendly, Business traveler-friendly, Includes high-speed WiFi  
882432606902902932,Family-friendly, Business traveler-friendly, Includes high-speed WiFi  
882577547121602247,Budget-friendly, Central location, Suitable for solo travelers  
882613119841926805,Budget-friendly, Central location, Suitable for solo travelers  
882615442722294810,Budget-friendly, Central location, Suitable for solo travelers  
882617820084265716,Budget-friendly, Central location, Suitable for solo travelers
882620044109632671,Near educational institutions, Peaceful area, Cozy atmosphere  
882620898062401283,Near educational institutions, Peaceful area, Cozy atmosphere  
882621775307891771,Near educational institutions, Peaceful area, Cozy atmosphere  
882622563514465830,Near educational institutions, Peaceful area, Cozy atmosphere  
882623345282201219,Near educational institutions, Peaceful area, Cozy atmosphere  
882676117894394504,,,
882689547035621953,Central location, Near cultural attractions, Eco-friendly features  
882721722762028118,Near public transportation, Close to nightlife, Cozy atmosphere  
883060487391341605,Central location, Near cultural attractions, Scenic walking routes nearby  
883266895470543520,Luxury apartment, Close to shopping areas, Includes breakfast  
883271721398033031,Near public transportation, Budget-friendly, Compact and efficient studio
883280123964736233,Family-friendly, Near public transportation, Historic neighborhood  
883283248173046817,Family-friendly, Near public transportation, Historic neighborhood  
883431401955346365,Stylish and modern decor, Central location, Ideal for couples  
883709051586610415,Central location, Close to restaurants and cafes, Luxury apartment  
883738224394326273,Central location, Close to restaurants and cafes, Near cultural attractions  
883817365856472234,Luxury apartment, Central location, Unique architectural design  
883861676772455531,Central location, Near cultural attractions, Close to major landmarks  
883912403320494887,Cozy atmosphere, Ideal for couples, Family-friendly  
884025441738074633,Central location, Near public transportation, Ideal for couples  
884038094945799445,Quiet area, Suitable for solo travelers, Business traveler-friendly
884502379662154760,Central location, Near public transportation, Perfect for extended stays  
884806542700697808,Central location, Ideal for couples, Family-friendly  
884828251690754398,Panoramic city views, Stylish and modern decor, Romantic atmosphere  
885209547935598894,Peaceful courtyard access, Near cultural attractions, Unique architectural design  
885396822338868790,Luxury apartment, Central location, Fully equipped kitchen  
885425890774473070,Central location, Family-friendly, Business traveler-friendly  
885955104442165377,Central location, Near public transportation, Close to cultural attractions  
886095931320854684,Peaceful courtyard access, Family-friendly, Quiet area  
886211711759946241,Stylish and modern decor, Central location, Ideal for couples  
886254260892834293,Near public transportation, Family-friendly, Budget-friendly
886641212474402930,Fully equipped kitchen, With private parking, Includes high-speed WiFi  
886681587489773469,Central location, Near public transportation, Ideal for couples  
886701369388901275,Quiet area, Suitable for couples, With private parking  
886705083063706285,Unique architectural design, Scenic walking routes nearby, Charming old-town vibe  
886706900682119443,Cozy atmosphere, Suitable for solo travelers, Includes high-speed WiFi  
886708239985452017,Family-friendly, Spacious living areas, Fully equipped kitchen  
886751339555775568,Family-friendly, Near public transportation, Quiet area  
