id,openai_classification
13053468,Central location; Stylish and modern decor; Near major landmarks
13074959,Near public transportation; Central location; Flexible check-in
13090919,Central location; Close to restaurants and cafes; Near major landmarks  
13104849,Central location; Near cultural attractions; Close to restaurants and cafes  
13105546,Quiet area; Central location; Spacious living areas  
13110829,Luxury apartment; Central location; Unique architectural design  
13138249,Nearby parks or green spaces; Quiet area; Family-friendly  
13141114,Quiet area; Near public transportation; Budget-friendly  
13158980,Central location; Near major landmarks; Modern apartment  
13172051,Central location; Stylish and modern decor; Family-friendly  
13180686,Central location; Panoramic city views; Fully equipped kitchen  
13180839,Central location; Fully equipped kitchen; Spacious living areas
13180954,Central location; Near major landmarks; Fully equipped kitchen  
13181016,Central location; Near major landmarks; Fully equipped kitchen  
13181043,Central location; Compact and efficient studio; Fully equipped kitchen  
13217443,Central location; Near public transportation; Close to restaurants and cafes  
13221779,Central location; Near public transportation; Family-friendly  
13254939,Central location; Ideal for couples; Business traveler-friendly  
13255149,Central location; Ideal for couples; Business traveler-friendly  
13255452,Central location; Ideal for couples; Business traveler-friendly  
13255572,Central location; Ideal for couples; Business traveler-friendly  
13255722,Central location; Ideal for couples; Business traveler-friendly
13255969,Central location; Ideal for couples; Includes high-speed WiFi  
13270026,Modern apartment; With private parking; Quiet area  
13272478,Central location; Ideal for couples; Suitable for solo travelers  
13275157,Cozy atmosphere; Peaceful courtyard access; Near parks or green spaces  
13286057,Central location; Includes breakfast; Fully equipped kitchen  
13287039,Central location; Fully equipped kitchen; Ideal for families  
13287212,Central location; Modern apartment; Includes breakfast  
13289221,Budget-friendly; Central location; Suitable for groups  
13289435,Budget-friendly; Central location; Suitable for groups  
13289647,Budget-friendly; Central location; Suitable for groups
13302553,Central location; Quiet area; Close to restaurants and cafes  
13305029,Central location; Family-friendly; Fully equipped kitchen  
13305285,Fully equipped kitchen; Spacious living areas; Ideal for couples  
13307761,Close to major landmarks; Modern apartment; Stylish and modern decor  
13308042,Central location; Family-friendly; Near cultural attractions  
13310208,Near public transportation; Quiet area; Modern apartment  
13331203,Quiet area; Central location; Good natural lighting  
13340641,Central location; Close to restaurants and cafes; Good natural lighting  
13345698,Near public transportation; Family-friendly; Cozy atmosphere  
13353736,Near public transportation; Good natural lighting; Cozy atmosphere
13356087,Cozy atmosphere; Quiet area; Suitable for solo travelers  
13360577,Quiet area; Near public transportation; Family-friendly  
13370929,Ideal for couples; Suitable for solo travelers; Cozy atmosphere  
13383148,Quiet area; Flexible check-in; Central location  
13387097,Central location; Close to restaurants and cafes; Ideal for couples  
13393587,Near public transportation; Panoramic city views; Close to major landmarks  
13405618,Central location; Family-friendly; Pet-friendly  
13409907,Central location; Scenic walking routes nearby; Ideal for couples  
13421563,Central location; Quiet area; Good natural lighting  
13421830,Central location; Modern apartment; Close to restaurants and cafes
13422761,Central location; Perfect for couples; Close to restaurants and cafes  
13434533,Central location; Near public transportation; Family-friendly  
13455979,Central location; Ideal for couples; Close to restaurants and cafes  
13456981,Central location; Close to nightlife; Budget-friendly  
13456990,Central location; Close to nightlife; Budget-friendly  
13457102,Central location; Budget-friendly; Includes cleaning service  
13457105,Central location; Close to nightlife; Budget-friendly  
13457111,Central location; Budget-friendly; Includes cleaning service  
13458722,Central location; Family-friendly; Close to restaurants and cafes  
13465455,Central location; Modern apartment; Includes high-speed WiFi
13482199,Central location; Spacious living areas; Good natural lighting  
13482301,Central location; Family-friendly; Ideal for couples  
13482813,Near public transportation; Quiet area; Close to parks or green spaces  
13490073,Cozy atmosphere; Close to restaurants and cafes; Family-friendly  
13492192,Central location; Near public transportation; Close to major landmarks  
13538066,Family-friendly; Fully equipped kitchen; Cozy atmosphere  
13547044,Near public transportation; Close to local markets; Family-friendly  
13553767,Ideal for couples; Family-friendly; Suitable for solo travelers  
13553942,Ideal for couples; Family-friendly; Suitable for solo travelers  
13557694,Near public transportation; Great for food lovers; Family-friendly
13591927,Quiet area; Near public transportation; Close to parks and green spaces  
13600938,Central location; Near cultural attractions; Ideal for couples  
13602348,Central location; Modern apartment; Luxury apartment  
13611089,Close to restaurants and cafes; Ideal for couples; Family-friendly  
13613789,Quiet area; Luxury apartment; Close to public transportation  
13614104,Quiet area; Close to restaurants and cafes; Ideal for couples  
13628957,Central location; Family-friendly; Pet-friendly  
13656209,Central location; Ideal for couples; Perfect for extended stays  
13712983,Central location; Near public transportation; Family-friendly  
13729587,Quiet area; Budget-friendly; Close to public transportation
13747122,Historic neighborhood; Central location; Cozy atmosphere  
13756783,Modern apartment; Central location; Spacious living areas  
13768194,Near public transportation; Central location; Family-friendly  
13774542,Budget-friendly; Central location; Close to restaurants and cafes  
13775781,Budget-friendly; Central location; Quiet area  
13776074,Near public transportation; Family-friendly; Spacious living areas  
13779427,Central location; Ideal for couples; Family-friendly  
13806438,Panoramic city views; Family-friendly; Near major landmarks  
13836667,Historic neighborhood; Family-friendly; Near local markets  
13837805,Central location; Near cultural attractions; Spacious living areas
13838517,Central location; Ideal for couples; Quiet area  
13844577,Central location; Ideal for couples; Close to restaurants and cafes  
13870098,Central location; Family-friendly; Charming old-town vibe  
13873242,Historic neighborhood; Quiet area; Unique architectural design  
13881059,Central location; Near public transportation; Peaceful courtyard access  
13881282,Quiet area; Nearby parks or green spaces; Family-friendly  
13902879,Central location; Family-friendly; Close to major landmarks  
13905712,Central location; Family-friendly; Close to river or waterfront  
13906016,Central location; Family-friendly; Close to major landmarks  
13922591,Luxury apartment; Panoramic city views; Central location
13933164,Near cultural attractions; Quiet area; Family-friendly  
13982823,Central location; Near public transportation; Historic neighborhood  
14050170,Panoramic city views; Romantic atmosphere; Modern apartment  
14083944,Near public transportation; Close to parks; Quiet area  
14101230,Central location; Close to restaurants and cafes; Historic neighborhood  
14151314,Family-friendly; Nearby parks or green spaces; Ideal for couples  
14172447,Central location; Close to nightlife; Good natural lighting  
14172981,Family-friendly; Fully equipped kitchen; Spacious living areas  
14191673,Central location; Quiet area; Near public transportation  
14194223,Accessible for reduced mobility; Quiet area; Modern apartment
14195387,Accessible for reduced mobility; Luxury apartment; Quiet area  
14196348,Accessible for reduced mobility; Family-friendly; Quiet area  
14196410,Accessible for reduced mobility; Family-friendly; Quiet area  
14196646,Unique architectural design; Family-friendly; Accessible for reduced mobility  
14199775,Central location; Near public transportation; Fully equipped kitchen  
14206979,Central location; Quiet area; Family-friendly  
14209594,Unique architectural design; Family-friendly; Accessible for reduced mobility  
14209727,Accessible for reduced mobility; Luxury apartment; Unique architectural design  
14209926,Accessible for reduced mobility; Luxury apartment; Quiet area  
14210004,Accessible for reduced mobility; Family-friendly; Quiet area
14210170,Remote work setup; Cozy atmosphere; Quiet area  
14231510,Central location; Family-friendly; Close to parks and green spaces  
14234684,Modern apartment; Fully equipped kitchen; Close to public transportation  
14242839,Cozy atmosphere; Central location; Ideal for couples  
14262549,Near public transportation; Family-friendly; Close to nightlife  
14279491,Central location; Family-friendly; Good natural lighting  
14309748,Luxury apartment; Central location; Includes high-speed WiFi  
14315011,Central location; Near cultural attractions; Walkable neighborhood  
14352902,Historic neighborhood; Near public transportation; Close to local markets  
14371861,Historic neighborhood; Central location; Family-friendly
14384756,Central location; Close to restaurants and cafes; Near parks or green spaces  
14392635,Central location; Close to restaurants and cafes; Walkable neighborhood  
14414408,Central location; Near public transportation; Family-friendly  
14434014,Central location; Near public transportation; Cozy atmosphere  
14437792,Central location; Peaceful area; Close to shopping areas  
14485049,Central location; Quiet area; Spacious living areas  
14493815,Central location; Near public transportation; Ideal for couples  
14496461,Central location; Historic neighborhood; Unique architectural design  
14527509,Near public transportation; Close to restaurants and cafes; Suitable for solo travelers  
14557588,Near public transportation; Close to restaurants and cafes; Family-friendly
14557714,Ideal for couples; Suitable for solo travelers; Business traveler-friendly
14563092,Central location; Panoramic city views; Near cultural attractions
14577731,Fully equipped kitchen; Includes cleaning service; Flexible check-in
14584568,Central location; Family-friendly; Cozy atmosphere
14600931,Budget-friendly; Family-friendly; Central location
14601328,Budget-friendly; Central location; Close to restaurants and cafes
14604324,Near public transportation; Cozy atmosphere; Budget-friendly
14611669,Central location; Suitable for solo travelers; Cozy atmosphere
14646371,Includes cleaning service; Flexible check-in; Central location
14661992,Includes cleaning service; Central location; Near public transportation
14662101,Near public transportation; Central location; Near cultural attractions  
14663178,Historic neighborhood; Near cultural attractions; Cozy atmosphere  
14677588,Central location; Fully equipped kitchen; Includes cleaning service  
14689707,Central location; Family-friendly; Spacious living areas  
14699469,Historic neighborhood; Unique architectural design; Modern apartment  
14717327,Historic neighborhood; Unique architectural design; Modern apartment  
14717797,Quiet area; Near public transportation; Family-friendly  
14720058,Central location; Close to restaurants and cafes; Near cultural attractions  
14721681,Quiet area; Nearby parks or green spaces; Central location  
14739804,Budget-friendly; Near public transportation; Close to parks or green spaces
14740404,Budget-friendly; Near public transportation; Quiet area  
14745044,Central location; Good natural lighting; Close to restaurants and cafes  
14788045,Family-friendly; Fully equipped kitchen; Private entrance  
14799179,Near major landmarks; Ideal for couples; Cozy atmosphere  
14812330,Budget-friendly; Close to nightlife; Cozy atmosphere  
14814053,Central location; Close to public squares; Walkable neighborhood  
14822134,Business traveler-friendly; Cozy atmosphere; Family-friendly  
14830753,Unique architectural design; Central location; Stylish and modern decor  
14831558,Charming old-town vibe; Near cultural attractions; Close to restaurants and cafes  
14831773,Central location; Near major landmarks; Cozy atmosphere
14834345,Luxury apartment; Close to restaurants and cafes; Near major landmarks  
14834982,Quiet area; Near public transportation; Historical neighborhood  
14850113,Quiet area; Business traveler-friendly; Fully equipped kitchen  
14854167,Safe neighborhood; Good natural lighting; Modern apartment  
14876756,Luxury apartment; Spacious living areas; Family-friendly  
14891261,Panoramic city views; Near public transportation; Close to cultural attractions  
14898855,Central location; Close to restaurants and cafes; Near major landmarks  
14922531,Cyclist-friendly area; Quiet area; Suitable for solo travelers  
14965661,Family-friendly; Ideal for couples; Suitable for solo travelers  
14975005,Historic neighborhood; Charming old-town vibe; Unique architectural design
14980499,Near public transportation; Close to restaurants and cafes; Family-friendly  
14989739,Family-friendly; Spacious living areas; Ideal for couples  
15011614,Historic neighborhood; Central location; Cozy atmosphere  
15014596,Central location; Near public transportation; Quiet area  
15031797,Family-friendly; Ideal for couples; Business traveler-friendly  
15061921,Near public transportation; Quiet area; Good natural lighting  
15079214,Suitable for solo travelers; Ideal for couples; Cozy atmosphere  
15096583,Central location; Quiet area; Nearby parks or green spaces  
15103188,Central location; Quiet area; Charming old-town vibe  
15110499,Central location; Ideal for couples; Cozy atmosphere
15112680,Central location; Quiet area; Close to theaters and cinemas  
15113705,Near public transportation; Family-friendly; Close to restaurants and cafes  
15128376,Artistic atmosphere; Ideal for couples; Unique architectural design  
15128945,Panoramic city views; Family-friendly; Business traveler-friendly  
15137611,Central location; Good natural lighting; Ideal for couples  
15138083,Budget-friendly; Nightlife; Ideal for solo travelers  
15153136,Near public transportation; Good natural lighting; Quiet area  
15155533,Historic neighborhood; Modern apartment; Unique architectural design  
15158288,Central location; Family-friendly; Close to restaurants and cafes  
15171124,Central location; Modern apartment; Ideal for families
15171500,Central location; Family-friendly; Business traveler-friendly  
15172463,Central location; Family-friendly; Business traveler-friendly  
15183195,Near cultural attractions; Historic neighborhood; Unique architectural design  
15245150,Quiet area; Family-friendly; Close to public transportation  
15255060,Quiet area; Close to public transportation; Family-friendly  
15258862,Spacious living areas; Near public transportation; Modern apartment  
15262754,Central location; Ideal for couples; Suitable for solo travelers  
15265825,Quiet area; Near public transportation; Family-friendly  
15280071,Central location; Family-friendly; Fully equipped kitchen  
15283770,Quiet area; Near public transportation; Suitable for solo travelers
15290826,Central location; Quiet area; Ideal for couples  
15331637,Family-friendly; Near public transportation; Quiet area  
15334845,Family-friendly; Quiet area; Central location  
15354551,Central location; Near public transportation; Family-friendly  
15390165,Unique architectural design; Central location; Historical neighborhood  
15393716,Central location; Family-friendly; Near cultural attractions  
15417158,Luxury apartment; Central location; Modern apartment  
15441827,Central location; Near cultural attractions; Family-friendly  
15446191,Ideal for couples; Central location; Fully equipped kitchen  
15447400,Central location; Family-friendly; Fully equipped kitchen
15472961,Central location; Quiet area; Cozy atmosphere  
15505133,Quiet area; Near public transportation; Fully equipped kitchen  
15538649,Quiet area; Family-friendly; Fully equipped kitchen  
15543077,Central location; Modern apartment; Near public transportation  
15547557,Quiet area; Flexible check-in; With private parking  
15550188,Central location; Close to restaurants and cafes; Near public transportation  
15558404,Central location; Family-friendly; Cozy atmosphere  
15576346,Near public transportation; Central location; Spacious living areas  
15580987,Historic neighborhood; Central location; Close to public transportation  
15596018,Central location; Quiet area; Ideal for couples
15625984,Central location; Ideal for couples; Family-friendly  
15644692,Cozy atmosphere; Quiet area; Fully equipped kitchen  
15657094,Central location; Historic neighborhood; Quiet area  
15657708,Central location; Historic neighborhood; Quiet area  
15657865,Central location; Historic neighborhood; Quiet area  
15658079,Central location; Historic neighborhood; Quiet area  
15658215,Central location; Historic neighborhood; Quiet area  
15658480,Central location; Historic neighborhood; Quiet area  
15658590,Central location; Historic neighborhood; Quiet area  
15658847,Central location; Historic neighborhood; Quiet area
15659086,Historic neighborhood; Central location; Cozy atmosphere  
15659399,Historic neighborhood; Central location; Cozy atmosphere  
15673129,Fully equipped kitchen; Near public transportation; Near shopping areas  
15716479,Quiet area; Near public transportation; Cozy atmosphere  
15719668,Luxury apartment; Ideal for couples; Stylish and modern decor  
15723804,Central location; Close to restaurants and cafes; Near public transportation  
15739896,
15749959,Near cultural attractions; Ideal for couples; Good natural lighting  
15757628,Fully equipped kitchen; Quiet area; Perfect for extended stays  
15759088,Quiet area; Near public transportation; Near cultural attractions  
15772946,Near major landmarks; Close to cultural attractions; Stylish and modern decor
15779969,Central location; Family-friendly; Quiet area  
15793324,Central location; Near public transportation; Close to restaurants and cafes  
15799156,Central location; Ideal for couples; Good natural lighting  
15810579,Central location; Near cultural attractions; Spacious living areas  
15811332,Central location; Near cultural attractions; Spacious living areas  
15811364,Central location; Near public transportation; Fully equipped kitchen  
15811482,Central location; Near cultural attractions; Spacious living areas  
15811599,Central location; Near cultural attractions; Spacious living areas  
15817940,Quiet area; Near parks or green spaces; Good natural lighting  
15843529,Central location; Near public transportation; Close to restaurants and cafes
15844311,Luxury apartment; Central location; Stylish and modern decor  
15861130,Central location; Cozy atmosphere; Unique architectural design  
15879158,Fully equipped kitchen; Central location; Panoramic city views  
15887828,Spacious living areas; Family-friendly; Near cultural attractions  
15891865,Family-friendly; Ideal for couples; Close to restaurants and cafes  
15901382,Ideal for couples; Family-friendly; Central location  
15906791,Quiet area; Near public transportation; Close to shopping areas  
15911416,Central location; Spacious living areas; Ideal for couples  
15924436,Quiet area; Remote work setup; Safe neighborhood  
15940367,Quiet area; Close to restaurants and cafes; Good natural lighting
15950998,Central location; Close to restaurants and cafes; Near public transportation  
15953546,Central location; Fully equipped kitchen; Private entrance  
15967014,Family-friendly; Suitable for solo travelers; Business traveler-friendly  
15967767,Central location; Suitable for large groups; Event hosting space  
15979271,Family-friendly; Suitable for solo travelers; Business traveler-friendly  
15995161,Near public transportation; Family-friendly; Cozy atmosphere  
16023617,Luxury apartment; Panoramic city views; Business traveler-friendly  
16023732,Luxury apartment; Panoramic city views; Business traveler-friendly  
16090686,Family-friendly; Suitable for solo travelers; Business traveler-friendly  
16092474,Near public transportation; Family-friendly; Includes breakfast
16092579,Central location; Near cultural attractions; Cozy atmosphere  
16093507,Resort-style; Near public transportation; Includes breakfast  
16093753,Resort-style; Near public transportation; Includes breakfast  
16094000,Resort-style; Near public transportation; Includes breakfast  
16094824,Near public transportation; Quiet area; Family-friendly  
16121699,Central location; Luxury apartment; Near public transportation  
16128616,Quiet area; Family-friendly; Fully equipped kitchen  
16160089,Central location; Family-friendly; Includes high-speed WiFi  
16173760,Central location; Close to restaurants and cafes; Good natural lighting  
16182187,Central location; Close to restaurants and cafes; Modern apartment
16182757,Cozy atmosphere; Fully equipped kitchen; Good natural lighting  
16190602,Modern apartment; Cozy atmosphere; Ideal for couples  
16200505,Budget-friendly; Near public transportation; Shared accommodations  
16215990,Central location; Charming old-town vibe; Event hosting space  
16216039,Central location; Charming old-town vibe; Event hosting space  
16229728,Central location; Near public transportation; Good natural lighting  
16238720,Central location; Close to nightlife; Unique architectural design  
16246732,Modern apartment; Private entrance; Close to shopping areas  
16262849,Central location; Ideal for couples; Business traveler-friendly  
16263919,Cozy atmosphere; Fully equipped kitchen; Ideal for couples
16266026,Central location; Near public transportation; Ideal for couples  
16269463,Cozy atmosphere; Ideal for couples; Suitable for solo travelers  
16278127,Central location; Luxury apartment; Near cultural attractions  
16281862,Family-friendly; Central location; Modern apartment  
16290803,Central location; Quiet area; Close to restaurants and cafes  
16304880,Central location; Ideal for couples; Cozy atmosphere  
16323668,Family-friendly; Central location; Modern apartment  
16331907,Family-friendly; Central location; Ideal for couples  
16332421,Family-friendly; Central location; Modern apartment  
16334023,Family-friendly; Central location; Ideal for couples
16334722,Central location; Family-friendly; Modern apartment  
16335166,Central location; Family-friendly; Modern apartment  
16337333,Central location; Near public transportation; Modern apartment  
16344878,Central location; Historic neighborhood; Cozy atmosphere  
16345062,Central location; Near public transportation; Modern apartment  
16345215,Central location; Close to shopping areas; Family-friendly  
16345443,Central location; Near public transportation; Includes cleaning service  
16351122,Central location; Panoramic city views; Rooftop terrace or balcony  
16359755,Central location; Close to restaurants and cafes; Cozy atmosphere  
16376489,Central location; Panoramic city views; Spacious living areas
16397927,Central location; Close to restaurants and cafes; Good natural lighting  
16421103,Ideal for couples; Suitable for solo travelers; Close to restaurants and cafes  
16425737,Family-friendly; Near public transportation; Quiet area  
16426155,Near cultural attractions; Panoramic city views; Quiet area  
16431429,Historic neighborhood; Central location; Close to major landmarks  
16438657,Ideal for families; Near public transportation; Close to cultural attractions  
16447033,Family-friendly; Near public transportation; Perfect for extended stays  
16461387,Ideal for couples; Pet-friendly; Close to restaurants and cafes  
16463646,Panoramic city views; Near cultural attractions; Safe neighborhood  
16466496,Central location; Panoramic city views; Spacious living areas
16467027,Historic neighborhood; Quiet area; Private entrance  
16475152,Central location; Close to restaurants and cafes; Modern apartment  
16476032,Central location; Near cultural attractions; Quiet area  
16485798,Quiet area; Family-friendly; Good natural lighting  
16490253,Central location; Near public transportation; Modern apartment  
16502187,Central location; Near public transportation; Close to restaurants and cafes  
16502658,Central location; Charming old-town vibe; Stylish and modern decor  
16514564,Central location; Quiet area; Fully equipped kitchen  
16523724,Panoramic city views; Near major landmarks; Luxury apartment  
16523744,Central location; Close to restaurants and cafes; Ideal for couples
16536346,Central location; Near cultural attractions; Fully equipped kitchen  
16550735,Central location; Family-friendly; Includes breakfast  
16551939,Central location; Close to restaurants and cafes; Walkable neighborhood  
16553276,Central location; Historic neighborhood; Near major landmarks  
16557767,Cozy atmosphere; Family-friendly; Fully equipped kitchen  
16577338,Modern apartment; Near public transportation; Stylish and modern decor  
16601026,Unique architectural design; Good natural lighting; Quiet area  
16623886,Quiet street; Close to restaurants and cafes; Near public transportation  
16640357,Spacious living areas; Luxury apartment; Near cultural attractions  
16645612,Unique architectural design; Peaceful courtyard access; Cozy atmosphere
16646435,Near public transportation; Cozy atmosphere; Ideal for couples  
16658722,Central location; Near cultural attractions; Luxury apartment  
16682952,Central location; Family-friendly; Close to restaurants and cafes  
16721201,Cozy atmosphere; Ideal for couples; Fully equipped kitchen  
16721301,Quiet area; Local artisan decor; Close to public squares  
16736550,Family-friendly; Near public transportation; Spacious living areas  
16747846,Close to public transportation; Ideal for couples; Perfect for extended stays  
16751211,Quiet area; Near public transportation; Perfect for extended stays  
16823659,Central location; Suitable for solo travelers; Includes high-speed WiFi  
16907495,Historic neighborhood; Luxury apartment; Perfect for extended stays
16911351,Central location; Near public transportation; Surrounded by historic architecture  
16920695,Ideal for couples; Panoramic city views; Quiet area  
16921137,Central location; Near public transportation; Close to restaurants and cafes  
16942918,Modern apartment; Near public transportation; Includes high-speed WiFi  
16959475,Central location; Spacious living areas; Fully equipped kitchen  
16960252,Central location; Family-friendly; Panoramic city views  
16960255,Central location; Spacious living areas; Fully equipped kitchen  
16968572,Suitable for solo travelers; Near public transportation; Nearby parks or green spaces  
16979990,Family-friendly; Includes laundry facilities; Cozy atmosphere  
16980652,Central location; Family-friendly; Fully equipped kitchen
16981902,Compact and efficient studio; Fully equipped kitchen; Includes high-speed WiFi  
17003901,Near public transportation; Family-friendly; Close to restaurants and cafes  
17037987,Quiet area; Close to nightlife; Near cultural attractions  
17045009,Near public transportation; Quiet area; Laundry facilities included  
17093827,Unique architectural design; Stylish and modern decor; Historic neighborhood  
17094474,Rooftop terrace or balcony; Family-friendly; Good natural lighting  
17107450,Central location; Close to major landmarks; Safe neighborhood  
17167567,Spacious living areas; Family-friendly; Fully equipped kitchen  
17183122,Near educational institutions; Quiet area; Fully equipped kitchen  
17184605,Central location; Perfect for extended stays; Family-friendly
17193798,Family-friendly; Near public transportation; Close to shopping areas  
17223023,Luxury apartment; Close to local markets; Ideal for couples  
17245371,Central location; Near cultural attractions; Close to restaurants and cafes  
17247456,Family-friendly; Close to restaurants and cafes; Near public transportation  
17274978,Central location; Quiet area; Close to restaurants and cafes  
17280996,Central location; Stylish and modern decor; Near cultural attractions  
17281002,Quiet street; Central location; Spacious living areas  
17281007,Historic neighborhood; Central location; Near museums and galleries  
17281024,Budget-friendly; Close to public transportation; Fully equipped kitchen  
17281083,Central location; Quiet area; Close to restaurants and cafes
17297065,Modern apartment; Fully equipped kitchen; Accessible for reduced mobility  
17300350,Central location; Close to restaurants and cafes; Perfect for extended stays  
17300879,Central location; Near cultural attractions; Good natural lighting  
17306044,Cozy atmosphere; Ideal for couples; Modern apartment  
17309014,Quiet area; Family-friendly; Near cultural attractions  
17337529,Budget-friendly; Shared kitchen; Good natural lighting  
17341580,Quiet area; Close to restaurants and cafes; Cozy atmosphere  
17341611,Historic neighborhood; Central location; Luxury apartment  
17375372,Central location; Family-friendly; Spacious living areas  
17383493,Good natural lighting; Panoramic city views; Cozy atmosphere
17390994,Central location; Near public transportation; Near major landmarks  
17398524,Central location; Family-friendly; Cozy atmosphere  
17404811,Central location; Near major landmarks; Stylish and modern decor  
17445365,Central location; Near major landmarks; Modern apartment  
17450816,
17456985,Central location; Fully equipped kitchen; Good natural lighting  
17478381,Central location; Close to restaurants and cafes; Artistic atmosphere  
17502201,Central location; Historic neighborhood; Quiet area  
17504528,Central location; Family-friendly; Spacious living areas  
17505141,Central location; Family-friendly; Spacious living areas  
17505592,Central location; Near public transportation; Luxury apartment
17505669,Central location; Family-friendly; Luxury apartment  
17506430,Close to nightlife; Near public transportation; Cozy atmosphere  
17506536,Central location; Near public transportation; Luxury apartment  
17506942,Central location; Near public transportation; Luxury apartment  
17507030,Central location; Family-friendly; Luxury apartment  
17507152,Central location; Family-friendly; Luxury apartment  
17507345,Central location; Cozy atmosphere; Ideal for couples  
17512083,Quiet area; Close to local markets; Nearby parks or green spaces  
17512448,Near public transportation; Fully equipped kitchen; Good natural lighting  
17518555,Spacious living areas; Near public transportation; Family-friendly
17519659,Central location; Near public transportation; Stylish and modern decor  
17529107,Central location; Near public transportation; Close to cultural attractions  
17536999,Central location; Nearby parks or green spaces; Scenic walking routes nearby  
17607569,Quiet area; Near public transportation; Cozy atmosphere  
17613011,Central location; Close to local markets; Includes cleaning service  
17645713,Spacious living areas; Family-friendly; Cozy atmosphere  
17646116,Central location; Cozy atmosphere; Close to local markets  
17648206,Central location; Suitable for solo travelers; Remote work setup  
17673614,Central location; Close to cultural attractions; Stylish and modern decor  
17675851,Central location; Near cultural attractions; Close to restaurants and cafes
17691837,Historic neighborhood; Central location; High ceilings  
17694279,Central location; Close to restaurants and cafes; Walkable neighborhood  
17712118,Luxury apartment; Near public transportation; Modern apartment  
17724334,Luxury apartment; Near cultural attractions; Central location  
17724611,Luxury apartment; Near cultural attractions; Central location  
17728193,Luxury apartment; Near cultural attractions; Central location  
17728360,Luxury apartment; Near cultural attractions; Central location  
17728466,Luxury apartment; Near cultural attractions; Central location  
17728749,Luxury apartment; Near cultural attractions; Central location  
17729194,Luxury apartment; Near cultural attractions; Central location
17729271,Central location; Close to restaurants and cafes; Luxury apartment  
17729430,Central location; Close to restaurants and cafes; Luxury apartment  
17729521,Central location; Close to restaurants and cafes; Cozy atmosphere  
17742468,Central location; Family-friendly; Spacious living areas  
17769203,Central location; Rooftop terrace or balcony; Stylish and modern decor  
17776122,Quiet area; Close to public transportation; Cozy atmosphere  
17792892,Central location; Close to restaurants and cafes; Family-friendly  
17793216,Quiet area; Budget-friendly; Near public transportation  
17799663,Central location; Family-friendly; Stylish and modern decor  
17803849,Central location; Near public transportation; Cozy atmosphere
17807933,Central location; Cozy atmosphere; Close to restaurants and cafes  
17809879,Family-friendly; Central location; Near major landmarks  
17810336,Spacious living areas; Unique architectural design; Near cultural attractions  
17858081,Historic neighborhood; Luxury apartment; Close to major landmarks  
17859870,Modern apartment; Central location; Includes high-speed WiFi  
17876879,Unique architectural design; Near public transportation; Ideal for couples  
17899079,Central location; Ideal for couples; Cozy atmosphere  
17899870,Central location; Rooftop terrace or balcony; Close to shopping areas  
17901536,Quiet area; Central location; Suitable for solo travelers  
17906735,Luxury apartment; Central location; Family-friendly
17933064,Central location; With private parking; Fully equipped kitchen  
17940120,Panoramic city views; Family-friendly; Modern apartment  
17949569,Quiet area; Near public transportation; Ideal for couples  
17955644,Central location; Close to public squares; Ideal for couples  
17967510,Near major landmarks; Stylish and modern decor; Unique architectural design  
17993294,Central location; Near public transportation; Close to nightlife  
18004919,Central location; Near public transportation; Family-friendly  
18027226,Quiet area; Close to restaurants and cafes; Family-friendly  
18029821,Central location; Near public transportation; Includes cleaning service  
18030938,Central location; Near public transportation; Includes cleaning service
18037810,Central location; Near public transportation; Historical neighborhood  
18051811,Panoramic city views; Ideal for couples; Romantic atmosphere  
18063331,Central location; Family-friendly; Cozy atmosphere  
18074135,Central location; Modern apartment; Close to restaurants and cafes  
18081993,Luxury apartment; Panoramic city views; Unique architectural design  
18099955,Central location; Family-friendly; Near public transportation  
18118471,Central location; Family-friendly; Ideal for couples  
18144124,Historic neighborhood; Charming old-town vibe; Family-friendly  
18152448,Family-friendly; Near public transportation; Cozy atmosphere  
18169765,Budget-friendly; Near public transportation; Ideal for couples
18175634,Central location; Fully equipped kitchen; Luxury apartment  
18177688,Central location; Near public transportation; Quiet area  
18189174,Central location; Family-friendly; Perfect for extended stays  
18192643,Quiet area; Near public transportation; Modern apartment  
18207571,Quiet area; Near a river or waterfront; Cozy atmosphere  
18220414,Central location; Ideal for couples; Unique architectural design  
18234663,Panoramic city views; Family-friendly; Quiet area  
18237528,Central location; Close to restaurants and cafes; Perfect for extended stays  
18263406,Fully equipped kitchen; Nearby parks or green spaces; Close to public squares  
18263492,Central location; Cozy atmosphere; Near cultural attractions
18265005,Stylish and modern decor; Good natural lighting; Cozy atmosphere  
18266947,Ideal for couples; Stylish and modern decor; Romantic atmosphere  
18281713,Family-friendly; Private entrance; Quiet area  
18286999,Historic neighborhood; Modern apartment; Near cultural attractions  
18297813,Central location; Family-friendly; Fully equipped kitchen  
18303496,Central location; Close to nightlife; Family-friendly  
18316419,Central location; Panoramic city views; With private parking  
18341071,Quiet area; Ideal for couples; Peaceful courtyard access  
18343688,Cozy atmosphere; Suitable for solo travelers; Quiet area  
18381386,Central location; Historic neighborhood; Ideal for couples
18382239,Quiet area; Modern apartment; Fully equipped kitchen  
18386555,Central location; Historic neighborhood; Near public transportation  
18388057,Central location; Luxury apartment; Panoramic city views  
18391145,Open-concept layout; Cozy atmosphere; Family-friendly  
18394208,Family-friendly; Spacious living areas; Close to local markets  
18409833,Central location; Cozy atmosphere; Near cultural attractions  
18417529,Central location; Close to nightlife; Family-friendly  
